acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
-82,65,-2039,-27,23,8
-74,46,-2040,-26,22,7
-84,52,-2032,-30,22,4
-76,60,-2052,-24,28,6
-76,56,-2046,-26,23,7
-85,51,-2042,-25,18,3
-77,58,-2041,-24,21,4
-89,65,-2051,-27,21,8
-79,57,-2059,-29,20,5
-77,61,-2032,-25,25,5
-75,61,-2034,-24,23,6
-76,52,-2042,-28,23,2
-76,56,-2053,-26,19,3
-81,63,-2056,-28,26,3
-79,51,-2045,-27,25,9
-78,57,-2037,-26,25,5
-80,56,-2046,-25,26,2
-80,63,-2046,-27,24,2
-77,59,-2043,-25,21,6
-79,53,-2047,-26,23,7
-81,56,-2043,-28,22,6
-78,52,-2047,-26,25,3
-83,49,-2041,-28,23,4
-89,60,-2050,-31,24,5
-83,58,-2051,-26,24,7
-78,56,-2046,-26,26,3
-85,60,-2036,-26,22,6
-76,54,-2042,-27,26,6
-77,54,-2031,-24,23,1
-72,53,-2050,-25,21,5
-83,50,-2050,-27,22,6
-81,55,-2031,-29,25,6
-76,49,-2040,-26,24,5
-74,59,-2032,-29,23,4
-79,55,-2044,-27,24,1
-79,60,-2046,-23,21,6
-74,44,-2041,-28,21,7
-76,59,-2034,-28,25,6
-85,55,-2037,-24,26,8
-82,61,-2041,-26,26,6
-87,59,-2051,-27,22,5
-86,56,-2038,-26,23,9
-83,49,-2036,-26,26,3
-78,58,-2053,-24,20,9
-82,53,-2037,-27,22,4
-81,47,-2045,-23,22,6
-75,63,-2041,-23,23,9
-82,60,-2043,-27,22,9
-80,55,-2038,-25,23,6
-73,64,-2048,-24,28,6
-81,59,-2044,-27,26,7
-80,54,-2040,-26,20,4
-91,54,-2054,-29,25,4
-81,48,-2038,-28,21,9
-82,54,-2043,-26,21,6
-78,58,-2042,-29,23,6
-73,50,-2032,-28,21,3
-79,57,-2051,-26,24,6
-86,52,-2029,-28,23,5
-85,54,-2052,-24,23,5
-81,55,-2044,-25,23,4
-80,53,-2033,-29,23,4
-78,56,-2045,-28,21,7
-84,47,-2040,-23,24,7
-84,52,-2049,-26,22,1
-77,56,-2037,-26,21,5
-76,64,-2051,-28,23,4
-75,51,-2051,-26,24,9
-82,50,-2044,-26,24,7
-75,53,-2043,-26,22,6
-78,60,-2046,-25,27,6
-84,55,-2035,-28,19,6
-84,57,-2046,-28,21,1
-78,53,-2045,-27,26,6
-78,62,-2041,-27,19,5
-88,57,-2047,-27,22,6
-77,56,-2044,-27,23,1
-75,61,-2052,-27,25,7
-77,61,-2047,-26,23,7
-79,50,-2044,-25,21,5
-81,52,-2049,-26,27,4
-76,55,-2040,-28,25,4
-82,50,-2040,-27,24,4
-79,60,-2045,-26,18,6
-84,52,-2040,-26,22,3
-82,54,-2044,-25,22,12
-82,52,-2046,-32,21,9
-78,59,-2033,-26,21,8
-83,56,-2051,-27,22,3
-78,48,-2045,-29,25,10
-78,61,-2044,-26,20,3
-80,57,-2042,-29,22,7
-77,57,-2045,-26,25,6
-80,58,-2049,-28,22,3
-82,60,-2037,-26,24,3
-80,56,-2044,-25,28,7
-87,56,-2031,-26,23,8
-85,63,-2030,-30,22,0
-81,57,-2040,-28,21,7
-83,53,-2043,-22,25,1
-78,51,-2032,-27,24,5
-78,57,-2041,-26,24,6
-80,57,-2040,-26,21,2
-74,60,-2049,-24,24,5
-85,56,-2052,-26,24,4
-77,61,-2038,-22,25,7
-75,61,-2042,-31,25,2
-74,61,-2060,-25,22,5
-78,52,-2038,-27,23,6
-81,53,-2048,-29,28,4
-75,58,-2044,-22,24,7
-85,56,-2041,-27,23,4
-85,52,-2048,-27,22,7
-81,62,-2049,-28,23,6
-81,55,-2047,-25,27,3
-88,64,-2035,-23,24,7
-88,58,-2055,-29,25,10
-81,63,-2044,-22,23,4
-82,50,-2042,-24,25,7
-90,58,-2055,-27,23,4
-82,58,-2043,-22,25,6
-88,54,-2047,-20,26,5
